ID_PROJECT,VPD
ID_BATCH,ALPHA1
ID_WAFER,OEM-BY-PD-02
WAFER_ROTATION,90
TILE_WIDTH,10.5
TILE_HEIGHT,10.5
TEST_STRUCTURE,ALL
LINES_DATA,1628
tile_id,die_id,xc_ref[um],yc_ref[um],xc_chip[um],yc_chip[um],width[um],height[um],Array detail
DD,16J1,-0.9,6.6775,-0.9,6.6775,1.0,0.25,D01
DD,16I1,-1.95,6.6775,-1.95,6.6775,1.0,0.25,D01
DD,16H1,-3.0,6.6775,-3.0,6.6775,1.0,0.25,D01
DD,16G1,-4.05,6.6775,-4.05,6.6775,1.0,0.25,D01
DD,16F1,-5.1,6.6775,-5.1,6.6775,1.0,0.25,D01
DD,16E1,-6.15,6.6775,-6.15,6.6775,1.0,0.25,D01
DD,16D1,-7.2,6.6775,-7.2,6.6775,1.0,0.25,D01
DD,16C1,-8.25,6.6775,-8.25,6.6775,1.0,0.25,D01
DD,16B1,-9.3,6.6775,-9.3,6.6775,1.0,0.25,D01
DD,16A1,-10.35,6.6775,-10.35,6.6775,1.0,0.25,D01
DD,17A1,-10.35,6.4275,-10.35,6.4275,1.0,0.25,D01
DD,17B1,-9.3,6.4275,-9.3,6.4275,1.0,0.25,D01
DD,17C1,-8.25,6.4275,-8.25,6.4275,1.0,0.25,D01
DD,17D1,-7.2,6.4275,-7.2,6.4275,1.0,0.25,D01
DD,17E1,-6.15,6.4275,-6.15,6.4275,1.0,0.25,TS-GroupD [D1 D2 D3 D4]
DD,17F1,-5.1,6.4275,-5.1,6.4275,1.0,0.25,TS-GroupD [D1 D2 D3 D4]
DD,17G1,-4.05,6.4275,-4.05,6.4275,1.0,0.25,TS-GroupR [R1 R2 R3 R4]
DD,17H1,-3.0,6.4275,-3.0,6.4275,1.0,0.25,TS-GroupR [R1 R2 R3 R4]
DD,17I1,-1.95,6.4275,-1.95,6.4275,1.0,0.25,TS-GroupM [M1 M2 M3 M4]
DD,17J1,-0.9,6.4275,-0.9,6.4275,1.0,0.25,TS-GroupM [M1 M2 M3 M4]
DD,18J1,-0.9,6.1775,-0.9,6.1775,1.0,0.25,TS-GroupM [M5 M6 M7 M8]
DD,18I1,-1.95,6.1775,-1.95,6.1775,1.0,0.25,TS-GroupM [M5 M6 M7 M8]
DD,18H1,-3.0,6.1775,-3.0,6.1775,1.0,0.25,TS-GroupR [R5 R6 R7 R8]
DD,18G1,-4.05,6.1775,-4.05,6.1775,1.0,0.25,TS-GroupR [R5 R6 R7 R8]
DD,18F1,-5.1,6.1775,-5.1,6.1775,1.0,0.25,TS-GroupD [D5 D6 D7 D8]
DD,18E1,-6.15,6.1775,-6.15,6.1775,1.0,0.25,TS-GroupD [D5 D6 D7 D8]
DD,18D1,-7.2,6.1775,-7.2,6.1775,1.0,0.25,D01
DD,18C1,-8.25,6.1775,-8.25,6.1775,1.0,0.25,D01
DD,18B1,-9.3,6.1775,-9.3,6.1775,1.0,0.25,D01
DD,18A1,-10.35,6.1775,-10.35,6.1775,1.0,0.25,D01
DD,19A1,-10.35,5.9275,-10.35,5.9275,1.0,0.25,D01
DD,19B1,-9.3,5.9275,-9.3,5.9275,1.0,0.25,D01
DD,19C1,-8.25,5.9275,-8.25,5.9275,1.0,0.25,D01
DD,19D1,-7.2,5.9275,-7.2,5.9275,1.0,0.25,D01
DD,19E1,-6.15,5.9275,-6.15,5.9275,1.0,0.25,D01
DD,19F1,-5.1,5.9275,-5.1,5.9275,1.0,0.25,D01
DD,19G1,-4.05,5.9275,-4.05,5.9275,1.0,0.25,D01
DD,19H1,-3.0,5.9275,-3.0,5.9275,1.0,0.25,D01
DD,19I1,-1.95,5.9275,-1.95,5.9275,1.0,0.25,D01
DD,19J1,-0.9,5.9275,-0.9,5.9275,1.0,0.25,D01
DD,20J1,-0.9,5.6775,-0.9,5.6775,1.0,0.25,D01
DD,20I1,-1.95,5.6775,-1.95,5.6775,1.0,0.25,D01
DD,20H1,-3.0,5.6775,-3.0,5.6775,1.0,0.25,D01
DD,20G1,-4.05,5.6775,-4.05,5.6775,1.0,0.25,D01
DD,20F1,-5.1,5.6775,-5.1,5.6775,1.0,0.25,D01
DD,20E1,-6.15,5.6775,-6.15,5.6775,1.0,0.25,D01
DD,20D1,-7.2,5.6775,-7.2,5.6775,1.0,0.25,D01
DD,20C1,-8.25,5.6775,-8.25,5.6775,1.0,0.25,D01
DD,20B1,-9.3,5.6775,-9.3,5.6775,1.0,0.25,D01
DD,20A1,-10.35,5.6775,-10.35,5.6775,1.0,0.25,D01
DD,21A1,-10.35,5.4275,-10.35,5.4275,1.0,0.25,D01
DD,21B1,-9.3,5.4275,-9.3,5.4275,1.0,0.25,D01
DD,21C1,-8.25,5.4275,-8.25,5.4275,1.0,0.25,D01
DD,21D1,-7.2,5.4275,-7.2,5.4275,1.0,0.25,D01
DD,21E1,-6.15,5.4275,-6.15,5.4275,1.0,0.25,D01
